推荐人ID,推荐博主名称,博主涉及领域,博主所在平台,跳转链接,推荐理由,推荐时间
love小小伤,物理系的允文君,大学物理，数学,B站,https://space.bilibili.com/52663683?spm_id_from=333.788.b_765f7570696e666f.1,这个课程特别建议听过一遍老师的讲课，但又感觉迷迷糊糊的学生。允文君是一个非常厉害的大佬，因为同为学生，所以很多老师没有讲的细节，在他那里会讲的很清楚。特别是对于考研的同学来说，很难找到这种对于大学物理知识系统的梳理，希望大家能关注一下这个宝藏up主,2021.2.9
小鳥遊ＬＦ,Ksr桑,绘画教学,B站,https://space.bilibili.com/1848018?spm_id_from=333.788.b_765f7570696e666f.1,很有趣的一个up主 画画技术也是非常厉害的 有兴趣的小伙伴可以康康,2021.2.9
晨曦,致敬大神,机器学习,B站,https://space.bilibili.com/230105574,up主把她所读过的书籍结合自己的理解拍成教学视频，对人工智能感兴趣的小伙伴可以看她的视频入门,2021.2.9
小鳥遊ＬＦ,葉子先生桑,日语,B站,https://space.bilibili.com/10957838?from=search&seid=14204745742581073840,对于那些想学日语 或者参加日语高考的小伙伴们这个可以去康康,2021.2.9
小皮球菌,Carrie王脑思,英语,B站,https://space.bilibili.com/471737270?from=search&seid=6134211294820766735&spm_id_from=333.337.0.0,,2021.2.8
小皮球菌,画画的Angela,绘画,B站,https://space.bilibili.com/411442559?from=search&seid=13393417961772573788&spm_id_from=333.337.0.0,,2021.2.8
小皮球菌,王M争,设计,B站,https://space.bilibili.com/20364476?from=search&seid=6102601555979192524&spm_id_from=333.337.0.0,,2021.2.8
小皮球菌,YouTube设计精选,设计,B站,https://space.bilibili.com/281708245?from=search&seid=8637528168148772018&spm_id_from=333.337.0.0,,2021.2.8
小皮球菌,设计师的睡前毒物,设计,B站,https://space.bilibili.com/606305397?from=search&seid=5751568804624766153&spm_id_from=333.337.0.0,,2021.2.8
小皮球菌,KurTips,设计,B站,https://space.bilibili.com/225179867/video,,2021.2.8
小皮球菌,IDJ小九九,设计,B站,https://space.bilibili.com/453406733/video,,2021.2.8
小皮球菌,阿阳热爱前端,前端编程,B站,https://space.bilibili.com/478490349?from=search&seid=7470373407635177760&spm_id_from=333.337.0.0,,2021.2.8
小皮球菌,oooooohmygosh,设计,B站,https://space.bilibili.com/38053181?from=search&seid=11456995530490823378&spm_id_from=333.337.0.0,,2021.2.8
小皮球菌,Breanna设计分享,体验设计,B站,https://space.bilibili.com/476721351/video,,2021.2.8
小皮球菌,Krenz官方账号,绘画,B站,https://space.bilibili.com/181578039?from=search&seid=13090079877442576435&spm_id_from=333.337.0.0,,2021.2.8
