推荐人ID,推荐课程名称,授课老师,课程对应专业,课程所在平台,跳转链接,推荐人专业,推荐语,推荐日期
何志武,信号与系统,孟桥,电子信息类,MOOC,https://www.icourse163.org/course/SEU-204001?tid=1206023212,通信工程,讲明白每个知识点的前因后果，帮助理解各个变化之间的关系,2021年1月18日
Robert_W,信号与系统,郭宝龙,电子信号工程,中国大学MOOC,http://www.icourse163.org/course/XJTU-1206497813,电子信号工程,适合本科与考研学习,2021年2月8日
辣鸡呆马,信号与系统,郭宝龙,通信,中国大学MOOC,,物联网工程,醍醐灌顶，老师特别有趣,2021年2月9日
HongHu,新概念模拟电路,杨建国,电类,B站官方up,https://www.bilibili.com/video/BV1hC4y1H7e8?from=search&seid=16188086907867821128,电子信息类专业,老师讲的很前沿,2021年2月9日
NiKi,新标准日本语,叶子老师,日语,B站官方账号,https://www.bilibili.com/video/BV1es41127PE,新标准日本语（B站）,此视频共为43节课程，每节约为1.5h，适合入门及自学者学习。（学习之前建议先学习五十音图）,2021年2月9日
NiKi,新标准日本语,偏头鱼喵,日语,B站自制,https://www.bilibili.com/video/BV1uJ411p7pR,新标准日本语（2）,精讲日本语,2021年2月9日
kkkllkkkk,写实油画技巧,,写实油画,b站up,BV1iQ4y1P7uu,艺术学,解读大卫 莱弗尔厚实亮部的笔触技巧,2021年2月10日
达达joex,线性代数与空间解析几何（一）,黄廷祝,高等数学,b站,https://www.bilibili.com/video/BV13E411k7SU,管理学,,2021年3月8日
达达joex,线性代数与空间解析几何（二）,黄廷祝,高等数学,b站,https://www.bilibili.com/video/BV1F741187jz,管理学,,2021年3月8日
锂电池djsh。,线性代数与空间解析几何,郑宝东,电子信息,爱课程,http://www.icourses.cn/web/sword/portal/shareDetails?cId=2924#/course/chapter,电子信息,细致入微，较好理解，哈工大宝藏老师和线代教材编写者,2021年1月17日
DonDead,线性代数惊叹号系列,宋浩,线性代数,B站官方账号,,信息管理与信息系统,,2021年1月17日
eth.er░,线性代数的本质,,线性代数,b站官方账号,https://space.bilibili.com/88461692,自动化,用动画演示辅助理解线性代数的内容,2021年1月16日
东云,线性代数,Gilbert Strang,线性代数,网易公开课,https://open.163.com/newview/movie/free?pid=NESCFTN3V&mid=TESCFTN4M,英语翻译,从向量而不是行列式开始，课程体系比国内的好理解得多,2021年1月16日
锂电池djsh。,线性代数,Gilbert Strang,电子信息,网易公开课,http://open.163.com/special/opencourse/daishu.html,电子信息,讲解细致，通俗易懂,2021年1月17日
Summit酱,线性代数,宋浩,线性代数,B站官方账号,BV1aW411Q7x1,计算机科学与技术,学校老师的听不懂，但宋浩的能听懂,2021年1月17日
yesi,线性代数,由课程组老师合作完成,数学,中国大学mooc,https://www.icourse163.org/course/SDU-55001,电子科学与技术,老师讲解清晰易懂,2021年1月17日
小兔巴,线性代数,Gilbert Strang,数学,网易公开课,http://open.163.com/special/opencourse/daishu.html,数学,概念清晰，理论和应用方面都有涵盖。尤其对线性空间的解释非常有助于理解。MIT官网有作业集，帮助巩固知识。2020年出了新版，视频质量也有保证,2021年2月5日
麦克思维,线性代数,Gilbert Strang,数学,网易公开课,http://open.163.com/special/opencourse/daishu.html,非数学,虽然是英文但教授讲的很清楚，推荐假期自学，考前临时抱佛脚的避雷,2021年2月8日
夏和半山,线性代数,3Blue1Brown,线性代数,B站官方账号,https://www.bilibili.com/video/BV1ys411472E,自动化,通过模型具象化的讲解线性代数的作用,2021年2月8日
世界现存最可爱人类,线性代数,宋浩,理学,B站官方账号,https://www.bilibili.com/video/BV1aW411Q7x1,数据科学与大数据技术,,2021年2月8日
辣鸡呆马,线性代数,Gilbert Strang,高数,网易公开课,http://open.163.com/special/opencourse/daishu.html,物联网工程,循序渐进，适合有一点基础的同学再学习,2021年2月9日
Pluto11122,线性代数,宋浩,线性代数,B站官方账号,,电子信息工程,,2021年2月10日
Ahvjna,线性代数,宋浩,数学,B站官方账号,,经济管理,作为考研数学重点内容，宋浩老师以诙谐幽默，生动有趣的上课方式讲解相应线代知识点,2021年2月11日
lihling7,线性代数,W. Gibert Strang,线性代数,网易公开课,https://open.163.com/newview/movie/free?pid=EEV6KVEDA&mid=XEV6KVEP3,大气科学,线性代数课程，授课语言英语，有字幕，讲出了线性代数本质而不是为了应试,2021年2月27日
将神子,现代诗歌,未知,英美文学,网易公开课,https://open.163.com/newview/movie/free?pid=M6GJ5FINB&mid=M6GJ5T9D7,英语翻译,适合对英美文学专业的学生课外拓展用，或者对美国文学尤其是美国现代派诗歌的感兴趣的小伙伴,2021年2月10日
夏和半山,现代控制理论,Dr.CAN,现代控制理论,B站官方账号,https://www.bilibili.com/video/BV1yx411u7iX,自动化,由浅入深，层层铺垫,2021年2月8日
我有病还没治,现代德语文学,刘永平,德语语言文学,Mooc,,德语,国内少有的德语语言文学简析，对考研的同学以及对德语文学感兴趣的同学完全可以看一下，还邀请了其他的专家老师进行讲解,2021年1月27日
临床医学僧,系统解剖学,霍琨,人体解剖,辽宁资源共享,http://sharecourse.upln.cn/pdt/sharecourse/index.html,临床医学,全程手绘，跟着这位老师一起画一遍下来，知识很快就能记住了,2021年1月16日
-老局-,系统解剖学,霍琨,临床医学,辽宁资源共享,http://sharecourse.upln.cn/pdt/sharecourse/index.html,临床医学,手绘板书，语速适中，讲解透彻。适合于自学。,2021年1月17日
i天上人,系统解剖学,霍琨,临床医学,辽宁资源共享,http://sharecourse.upln.cn/pdt/sharecourse/index.html,临床医学,老师画图很好，非常简洁明了，讲课重点突出。,2021年2月9日
云慢慢,西方文论,杨宁老师,汉语言文学,官方B站号,搜up主：西竹书院 杨宁老师,汉语言文学,思路清晰，语言明白易懂,2021年1月19日
颐真小仙女,西方美术欣赏,孙乃树,美术学,B站,https://space.bilibili.com/1348664019?from=search&seid=3096628739782788585&spm_id_from=333.337.0.0,艺术学,老师讲课很有个人魅力,2021年12月6日
负电,西方经济学（微观+宏观）,小融老师,经济学,b站官方账号,BV1Kt411W7ja,经济学,很专业，讲课没有废话，很划重点,2021年2月10日
寻道,细胞生物学,山中伸弥,细胞生物学,b站（外国慕课）,BV1eE411g7iu,水产养殖,诱导干细胞，诺贝尔大佬，很有干货,
鹪鹩巢林,物理化学,王新平等,应用化学,MOOC,一：https://www.icourse163.org/course/DUT-1001734002；二：https://www.icourse163.org/learn/DUT-1001734003?tid=1450244469#/learn/announce,化学工程,化学化工类科目，天大、吉大和大连理工都不错，基本教材三分天下（邢其毅有机化学北大独树一帜除外）；大连理工的物理化学推导严密，注重教学演绎逻辑，实操性强，与工程紧密结合,2021年1月26日
🧐,无机及分析化学,王运等等等,化学,中国大学mooc,搜索第一个就是,食品质量与安全,王运老师教的还不错，其他的老师也还行，配合教材使用效果更佳哟！,2021年1月18日
吓死神秘人,无机化学 高等数学,宋天佑 宋浩,无机化学 高数,b站官方账号,,应用化学,都是跟着他们自学的,2021年1月16日
Spark099,无机材料科学基础,宋晓岚,无机非金属材料,中国大学MOOC,https://www.icourse163.org/course/CSU-1455417172,无机非金属材料工程,中南大学无机非金属材料工程专业与武科并列全国第一，但在本课程上中南更甚一筹，本课程是材料类相关专业的主干课程和核心学科基础课程，本课程有对应教材可供参考，为宋晓岚著《无机材料科学基础》，化学工业出版社出版,2021年2月10日
ZCild,文学文本解读+文学理论+文学批评),,文艺学,爱课程（国家精品课）,http://www.icourses.cn/sCourse/course_6947.html,汉语言文学,,2021年2月9日
云慢慢,文学理论入门,杨宁老师,汉语言文学,官方B站号,搜up主：西竹书院 杨宁老师,汉语言文学,思路清晰，语言明白易懂,2021年1月19日
ZCild,文学理论,孙文宪,文学理论,爱课程,http://www.icourses.cn/sCourse/course_6947.html,汉语言文学,教材：《文学理论导引》，王先霈、孙文宪著，高等教育出版社 
说明：原课程只录制了第一到五章，第六章“文学活动”只有PPT没有课程录像,2021年2月9日
Tian.H,文献管理与信息分析,罗昭锋,文献管理与信息分析,中国大学MOOC,,工程力学,建议即将步入研究生的同学利用暑假学习。,2021年2月10日
Jason Wan,文献管理与信息分析,罗昭锋,研究生基础课程,中国大学MOOC；学堂在线：,https://www.xuetangx.com/course/USTC12051000588/5882660?channel=search_result
https://www.xuetangx.com/course/USTC12051000588/5882660?channel=search_result,临床检验诊断学,国家精品课程，每期都有一两万人报名；适合小白入门；实操还是得自己练才可以体会到；写论文的高效方法论，科研进阶的宝器；耗时较长，收获很多；Endnote的使用、NoteExpress的使用、数据库的使用、科研思维的锻炼,2021年2月10日
清贵疏离天上仙,微机原理与接口技术,吴宁,机械/计算机,中国大学慕课,https://www.icourse163.org/course/XJTU-1001647001,机械工程,最好配合吴宁老师编写的书和实验指导书（有课后答案），认真学完可以不用去学校上这门课,2021年1月24日
达达joex,微积分（一）,冷劲松,数学,b站,https://www.bilibili.com/video/BV1KE411r7uq,管理学,电子科技大学的课，值得学习，很完整了,2021年3月8日
达达joex,微积分（三）,冷劲松,数学,b站,https://www.bilibili.com/video/BV1Sz411b7Lr,管理学,,2021年3月8日
