推荐人ID,推荐书籍名称,书籍作者,推荐语,推荐日期
单调的梦,《如何高效学习：1年完成麻省理工4年33门课程的整体性学习法》,斯科特·扬,工具书，学有余力者可以用用看。学习吃力者的话，建议先从拥有一个良好的，规律的和健康的生活作息。,
单调的梦,《飞鸟集》,泰戈尔,私货，生活中总要有诗和远方,
榊噬,《国家与革命》,列宁,,
榊噬,《社会改良还是革命？》,罗莎·卢森堡,,
榊噬,《斯大林全集》,斯大林,,
黎明,《人生的智慧》,亚瑟·叔本华,读完此书后人生会坦然许多，并非鸡汤文，而是蕴含了叔本华丰富的思想，悲观主义并非贬义词，做个乐观的悲观主义者没什么不好，当你是个悲观主义者时，社会上的许多困境便消失不见了,
雨一直下风一,《活着》,余华,活着,
2013海雕,《明朝那些事儿》,当年明月,轻轻松松看历史，对历史充满了兴趣,
雷无桀,《平凡的世界》,路遥,原来人不管在什么条件下都可以坚强的活着啊,
完颜革,《神经漫游者》,威廉吉布森,就是得看看,
苹果吃青蛙,《82年生的金智英》,赵南柱[韩],千万个亚洲女生都能在金智英身上找到自己的影子，这本书在韩国引起了很大轰动，孔刘出演了同名改编电影，韩国总统也读过此书。但凡相信平等的人，都是女性主义者。,
卖辣条的绅士星,《C Primer Plus》,[美]史蒂芬·普拉达,c语言的经典教材，详细且易懂,
Ch恩,《枪炮，细菌与钢铁》,Jared Diamond,重新认识人类，展示人类学的奥妙,
小树先森,《被讨厌的勇气》,岸见一朗 古贺史熊,是相信过去决定现在的原因论还是相信你做的都处于某种目的的目的论，人生课题的分离，我们所能决定的只有自己,
宇志海阿虚,《高效休息法》,久贺谷亮,专注于怎么休息好，不仅身体休息，大脑疲劳不是仅仅靠身体休息可以消除的，提高学习效率很不错,
羊男,《人生的智慧》,叔本华,哲学类书籍，通俗而又深刻,
羊男,《田园诗与狂想曲》,秦晖,中国农民学，真知灼见,
超级美丽的雨,《活着》,余华,故事引人入胜，看的进去且能感悟很多,
言灵_kotodama,《百年孤独》,马尔克斯,,
不知道腻,《社会性动物》,,,
gdmagd,《自卑与超越》,阿弗雷德·阿德勒,心理学著作，“阿德勒（作者）的心理学在在心理学历史中是第一个沿着我们今天应该称之为社会科学的方向发展的心理学体系。”,
侽--,《经济学原理》,曼昆,经济学专业必读之物,
春野真穹,《海边的卡夫卡》,村上春树,富有幽默感，使我们坦然接受那些怀有敏感问题的人物，读起来很放松，,
春野真穹,《激荡三十年》,吴晓波,一部中国企业创业史,
春野真穹,《艺术的故事》,E.H.贡布里希,有好多画作可以看，买一本实体书比较好，各个时期的艺术潮流也有讲解,
阿幸,《斯坦因西域游历丛书》,,喜欢西域历史的入门读物,
还没想好,《未央歌》,鹿桥,,
还没想好,《做一只特立独行的猪》,王小波,,
还没想好,《幸福的方法》,（美）泰勒本-沙哈尔,,
还没想好,《活出心花怒放的人生》,彭凯平,,
还没想好,《法学是什么》,喻中,,
Asterik,《法兰柴思事件》及其系列,约瑟芬•铁伊,优秀的侦探小说，在前期有伏笔，而且结局出乎意料,
Asterik,《事实》,汉斯•罗斯林 安娜•罗斯林•罗郎德 欧拉•罗斯林,基于对世界的认识整理了日常常见的思维惯性导致的错误认知，并辅以数据，应该可以成为客观认识的启蒙,
小马不想努力,《红楼梦》,曹雪芹,这个不用说了吧,
灌汤菠萝包,《无人生还》,阿加莎,侦探小说，阿婆真的好会渲染氛围，越到后面越紧张。,
灌汤菠萝包,《那不勒斯四部曲》,埃莱娜·费兰特,主要讲的友谊，但不仅仅讲了友谊。但真的好好看！hbo有拍剧版的出到第二季了，名字用的第一部的名字“我的天才女友”,
十三兰德,《美丽新世界》,奥尔德思赫胥黎,讨论的是：虚构了一个世界，在那里，你不会饥饿，不会为金钱烦恼，没有婚姻束缚和道德桎梏，没有父母对你耳边唠唠叨叨，你的身材和青春永驻。像这样的世界，你会想要去吗？,
十三兰德,《摇摆的心》,沼田真帆香留,如果你的至亲是一个变态杀人犯那样的人格，你的生活会怎样,
十三兰德,《横道世之介》,吉田修一,一个普通人的故事，他就在你我身边。笔触温柔细腻，合上书之后鼻子会感到酸酸的难过,
十三兰德,《道林格雷的画像》,奥斯卡王尔德,探讨美的含义，如果美永远的存在，但是这个人却是一个恶魔的存在。,
,《生吞》,郑执,2003年的冬天，一幢半废弃的建筑物“鬼楼”前的雪坑里发现了一具赤裸女尸。
十年后，又一具女尸出现在同一个雪坑里，且作案手段完全一致。
但当年的重大嫌疑人早就去世，真相到底是什么？
尘封旧案重见天日，一段少男少女的残酷往事也随之浮出水面。,
,《金色梦乡》,伊坂幸太郎,如果巨大势力把你视为肉中刺的时候，你会怎么逃出,
Roam牧头人,《了不起的我》,陈海贤,作者是浙大心理学博士，在得到上开过课程，这本书讲的是自我发展的心理学，相比传统的心理学相关书籍，实用性和适用性都很强，读的过程中会对照发现自我思维的局限性，同时又让人内心开阔，值得反复阅读,
孰湖,《刀锋》,[英]威廉•萨默塞特•毛姆,对精神世界的追求，毛姆在其中设定了两类非常鲜明的对比（可能不止），读完引人深思,
岁在诹訾,《奇特的一生》,格拉宁,怎么样利用时间,
岁在诹訾,《乡土中国》,费孝通,中国社会的乡土性,
岁在诹訾,《中国古代文化常识》,王力,,
杨絮不吃苦瓜,《如何阅读一本书》,[美]莫提默·J·艾德勒 查尔斯·范多伦,阅读应该是主动的行为，而以增进理解力为目的的阅读不应该只用一种方式或一种速度阅读。作者介绍阅读的四个层次同时给出了增进理解力的有效方法。读书是必须做的，这本书能让你做的更好。,
杨絮不吃苦瓜,《给青年的十二封信》,朱光潜,在十多岁的年纪避不开迷茫，这本书算是作为前辈的一点指导，没有说教的感觉，篇幅不长，但是很值得读。,
小哲,《刑法学讲义》,罗翔,可以对于刑法有一个初步的认识，罗翔在视频中讲的内容，本书也大部分有所涉及。,
无聊の暮庆,《被讨厌的勇气》,古贺史健,心理学，哲学，思考人生有很大帮助和影响(ФωФ),
匿,《吾国教育病理》,郑也夫,中国教育的问题、出路和他国可借鉴的经验（B站大学有同名课程，非社会学专业慎读此专著）,
Lenod,《理想国》（《Πολιτεία》）,【古典希腊】柏拉图（Plato，Πλατών）,以下OS（竟然还没人写，这可是罗老师都强推的顶级经典。任何对人生、世界有思考者的必读书目）,
Lenod,《为孩子重塑教育——更有可能成功的路》(《Most Likely to Succeed》,【美】托尼·瓦格纳（Tony Wagner）、泰德·丁特史密斯（Ted Dintersmith）,教育的核心、重任、未来,
好好休息,《论法的精神》（De l'esprit des lois）,【法】孟德斯鸠（Montesquieu）,继约翰洛克后日臻完善的“分权”理论，直接影响美联邦制度建立。,
无敌丁丁呢,《裸体艺术论》,陈醉,描绘人自身是人类艺术永恒不变的主题之一,
无敌丁丁呢,《当代人体艺术》,陈醉,,
假动作丶False,《浪潮之巅》,吴军,几个定律加公司兴衰，读出了三体的感觉，很爽。它阐述了我们如今这个时代是如何铸就的。如果要了解互联网，这本是必读之书。,
肥肥红,《启蒙辩证法 哲学断片》,霍克海默,传播政治经济学经典读物，其中的理论影响至今，能够洞察大众社会的矛盾,
肥肥红,《词与物》,福柯,媒介谱系，知识考古学，媒介哲学,
安德与千,《艺术的故事》,【英】E. T贡布里希,这既是艺术史，也是以艺术为轴的西方宗教与历史的发展史。,
安德与千,《伯里曼人体结构绘画教学》,【美】乔治. 伯里曼,人体结构方面的集大成者，画家的新华字典。,
茶狮,《高手：精英的见识和我们的时代》,万维钢,该书涵盖了《巨人的工具》等书籍的总结和一部分作者自己的方法论，是探索新的方法方式不错的一本书籍,
Iamlibilibi,《君主论》,马基雅维利,五百年前马基雅维利献给统治者的一本小册子，他将政治从道德中剥离开来，探讨君主如何稳固其统治，而五百年前的戏码，如今还在上演,
Ulak,《魔鬼经济学》,【美】史蒂芬.列维特、史蒂芬.都伯纳,“透过现象看本质”如果伦理道德是理想世界，那么经济学就是现实世界。,
木子云,《教育漫话》,洛克,看到还没有教育类，洛克的这本教育漫话，是在其教育经验的基础上，与朋友信件来往中整理而出，没有晦涩难懂，有很多也很值得当代借鉴。,
她曾说天要蓝,《反脆弱》,纳西姆•尼古拉斯•塔勒布,,
她曾说天要蓝,《非对称风险》,纳西姆▪尼古拉斯▪塔勒布,,
她曾说天要蓝,《认知天性》,彼得•布朗/亨利•勒迪格三世,,
她曾说天要蓝,《梦的解析》,弗洛伊德,,
她曾说天要蓝,《原则》,瑞·达利欧,,
她曾说天要蓝,《如何阅读一本书》,莫提默·J. 艾德勒,,
千年老曹,《学会提问》,【美】尼尔·布朗,锻炼辩证思维的法宝,
千年老曹,《亲密关系》,罗兰·米勒,用实证的方法教你如何看待和构建亲密关系,
千年老曹,《社会心理学》,【美】戴维·迈尔斯,探究如何认识自己，如何看待自己与社会的关系，于实证中揭示人的本质。,
飒飒飒,《我的晃荡青春》,东野奎吾,在人的一生中总会有很多“晃荡”无所事事迷茫的时期，在这些时候不妨可以来读一读这本书，可以在其中得到一些无意义却让人感觉到有一丝放松的东西。,
飒飒飒,《岛上书店》,加布瑞埃拉·泽文,总有那么一些时间 会让人感受到煎熬，像独处时侯的孤苦无依，情侣分开时候的痛心，或者是无人排解的忧愁。在遇到这些时，我很推荐你去随手翻一翻这本书，说不定就能够得到排解了呢？哈。,
春星祈愿,《基础有机化学》,刑其毅,化学类考研公认教材，自己看来之后确实觉得很好,
hyl7171,《存在主义心理治疗》,欧文·亚隆,帮我走出迷茫，解答了部分人生焦虑，然后从关心周围小事开始，逐渐重拾信心,
干饭王,《毛泽东选集》（1-5）,毛泽东,学习毛主席的斗争思想，提高自己的思想境界，做好社会主义的建设者,
sk8和尚,《泰戈尔诗集》（飞鸟和新月）,泰戈尔,感受了爱情与童真,
中医雨霁,《黄帝内经》,众多秦汉医家,内经是中医学的一个源头，一句话的展开就可能诞生一个伟大的医学流派。每一名中医人的必读著作,
中医雨霁,《伤寒杂病论》,张仲景,仲景在书中建立了一套精美的辨证体系，使后世学医者可以纲举目张。它不仅是一本方剂学专著，更是中医理论框架的重要组成部分。,
邻居家的龙骑,《百年孤独》,加西亚•马尔克斯,一个家族百年兴衰的故事，意味尤深,
panda,牧羊少年奇幻之旅,Paulo Coelho,讨论关于寻求自我价值的旅程,
邻居家的龙骑,《论人类不平等的起源》,让•亚克•卢梭,卢梭对人类社会如何发展至今的思考，以及对人类命运走向的猜想,
饭前便后嘤,《基础有机化学》,邢其毅,看到上面有两个已经写了好亲切啊哈哈哈我也要推荐，都看看吧看看吧！！,
邻居家的龙骑,《苏菲的世界》,乔斯坦•贾德,哲学启蒙和入门的老师,
邻居家的龙骑,《我讨厌的10种好人》,中岛义道,该书摆脱了社会对人的刻板印象，着重表达每个人的个性，值得学习,
邻居家的龙骑,《动物农场》,乔治•奥威尔,动物们反抗人类的剥削压迫，建立一个平等社会的故事,
panda,你当像鸟飞往你的山,Tara Westover,一个姑娘摆脱愚昧、家庭的阻碍走向教育的故事,
panda,一九八四 1984,George Owell,Big brother is watchiong you!,
panda,小王子,Antoine de Saint-Exupéry,童心之源, 各语种译本, 适合用作语言学习,
言灵_kotodama,《百年孤独》,马尔克斯,,
Ocean,《装台》,陈彦,描写西安文化及社会现象,
安德与千,《绘画的头脑风暴》,(英)皮亚. 山姆 菲利普. 贝弗利,激发灵感的创意练习，每个人都是艺术家,
书生,《非暴力沟通》,,父母总是用吵架来代替沟通，很怕受原生家庭的影响，想学好好沟通的人可以看一下,
星尘,《笑场》,李诞（蛋总）,在一言一语中体会陪伴与人生！,
